goalArea,objective
Expand language comprehension skills,Client will begin to ask what words mean when unfamiliar vocabulary is used in sessions.
Expand language comprehension skills,Client will demonstrate understanding of age-appropriate multiple-meaning words by providing two definitions in 80% of opportunities across the treatment period.
Expand language comprehension skills,Client will demonstrate understanding of targeted conversational expressions by providing an appropriate example of their use in 80% of opportunities across the treatment period.
Expand language comprehension skills,Client will demonstrate understanding of targeted conversational or idiomatic expressions by providing an appropriate example of their use in 80% of opportunities across the treatment period.
Expand language comprehension skills,Client will demonstrate understanding of targeted vocabulary words by answering verbal questions in 80% of opportunities across the treatment period.
Expand language comprehension skills,Client will demonstrate understanding of targeted vocabulary words by answering verbal questions in 80% of opportunities across the treatment period.
Expand language comprehension skills,Client will follow verbal directions containing before and after in 80% of opportunities for four sessions.
Expand language comprehension skills,"Client will follow verbal directions containing prepositions (behind, above, below, around, at the top, at the bottom) with 80% accuracy for four sessions."
Expand language comprehension skills,"Client will follow verbal directions containing prepositions (in, on, under, next to, off) with 80% accuracy for four sessions."
Expand language comprehension skills,Client will independently inquire about the meaning of unfamiliar vocabulary encountered in text in 80% of opportunities across the treatment period.
Expand language comprehension skills,Client will independently request clarification when she does not understand a statement or direction in 80% of opportunities across the treatment period.
Expand language comprehension skills,Client will independently use context to infer the meaning of unfamiliar words from text in 80% of opportunities across the treatment period.
Expand language comprehension skills,Client will request assistance with/clarification of verbal directions in 3/4 opportunities for four sessions.
Expand language comprehension skills,Client will respond to questions about a visual schedule containing “before” and “after” with 80% accuracy for four sessions
Expand language comprehension skills,Client will respond to when questions with a semantically appropriate response in 80% of opportunities for four sessions.
Expand language comprehension skills,"During shared book reading and given no more than one prompting question, Client will make inferences based on newly presented information that shift the existing scenario in 80% of opportunities across the treatment period."
Expand language comprehension skills,"During shared book reading, Client will describe her mental image of a specified section including at least 8 relevant details in five consecutive opportunities."
Expand language comprehension skills,"During structured therapy activity, Client will listen to a brief (2-3 sentences) passage and answer questions regarding specific details with 80% accuracy across 4 sessions."
Expand language comprehension skills,"During structured therapy activity, Client will listen to a brief (2-3 sentences) passage and independently answer questions regarding specific details with 80% accuracy across 4 sessions."
Expand language comprehension skills,"Given a unit of figurative language (e.g., metaphor, slang, joke) and a contextual clue, Client will explain the meaning in 80% of opportunities across the treatment period."
Expand language comprehension skills,"Given a visual of “structure words,” Client will tell the main idea and details of a given brief passage using at least 10 “structure words” in 80% of opportunities across five sessions."
Expand language comprehension skills,"Given guiding questions, Client will use context to infer the meaning of unfamiliar words from text in 80% of opportunities across the treatment period."
Expand language comprehension skills,"In response to a categorical label, Client will name or indicate 3–5 members of that category for four sessions during structured activities."
